ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.PATCH.NAME3.EXTEND PRM40 for PLUGOUT,6292088,8,659,8,int,8,4,"0,2147483647",0
fm.usrX.LFO.LFO WAVE,67108864,2,667,2,int,2,4,"0,5",0
fm.usrX.LFO.LFO FADE TIME,67108866,2,669,2,int,2,4,"0,255",0
fm.usrX.LFO.LFO RATE,67108868,2,671,2,int,2,4,"0,255",0
fm.usrX.LFO.LFO PITCH DEPTH,67108870,2,673,2,int,2,4,"0,255",128
fm.usrX.LFO.LFO FILTER DEPTH,67108872,2,675,2,int,2,4,"0,255",128
fm.usrX.LFO.LFO AMP DEPTH,67108874,2,677,2,int,2,4,"0,255",128
fm.usrX.LFO.LFO KEY TRIG,67108876,2,679,2,int,2,4,"0,1",0
fm.usrX.OSC1.OSC1 WAVE,67108878,2,681,2,int,2,4,"0,5",0
fm.usrX.OSC1.OSC1 COLOR,67108880,2,683,2,int,2,4,"0,255",0
fm.usrX.OSC1.OSC1 MOD,67108882,2,685,2,int,2,4,"0,5",0
fm.usrX.OSC1.OSC1 RANGE,67108884,2,687,2,int,2,4,"0,5",0
fm.usrX.OSC1.OSC1 CROSS MOD,67108886,2,689,2,int,2,4,"0,255",0
fm.usrX.OSC2.OSC2 WAVE,67108888,2,691,2,int,2,4,"0,5",0
fm.usrX.OSC2.OSC2 COLOR,67108890,2,693,2,int,2,4,"0,255",0
fm.usrX.OSC2.OSC2 MOD,67108892,2,695,2,int,2,4,"0,5",0
fm.usrX.OSC2.OSC2 RANGE,67108894,2,697,2,int,2,4,"0,5",0
fm.usrX.OSC2.OSC2 FINE TUNE,67108896,2,699,2,int,2,4,"0,255",128
fm.usrX.OSC2.OSC2 RING,67108898,2,701,2,int,2,4,"0,1",0
fm.usrX.OSC2.OSC2 SYNC,67108900,2,703,2,int,2,4,"0,1",0
