ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.usr3X.SEQ_STEP14._reserve_,151025852,8,28550,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14._reserve_,151025860,8,28558,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14._reserve_,151025868,8,28566,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14._reserve_,151025876,8,28574,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14._reserve_,151025884,8,28582,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14._reserve_,151025892,8,28590,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP15.STEP SEQ Note (voice 1),151027712,1,28598,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP15.STEP SEQ Note (voice 2),151027713,1,28599,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP15.STEP SEQ Note (voice 3),151027714,1,28600,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP15.STEP SEQ Note (voice 4),151027715,1,28601,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP15.STEP SEQ Note (voice 5),151027716,1,28602,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP15.STEP SEQ Note (voice 6),151027717,1,28603,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP15.STEP SEQ Note (voice 7),151027718,1,28604,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP15.STEP SEQ Note (voice 8),151027719,1,28605,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP15.STEP SEQ Velo (voice 1),151027720,1,28606,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP15.STEP SEQ Velo (voice 2),151027721,1,28607,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP15.STEP SEQ Velo (voice 3),151027722,1,28608,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP15.STEP SEQ Velo (voice 4),151027723,1,28609,1,int,1,7,"0,127",0
